noise_type,strength,model,train_accuracy_on_clean_train,test_accuracy,test_macro_f1,train_test_accuracy_gap,train_seconds,test_prediction_seconds,test_per_sample_ms,accuracy_drop_vs_clean
gaussian_feature_noise,0.00,gaussian_nb,0.896033,0.902813,0.910464,-0.006780,0.014578,0.052226,0.019081,0.000000
gaussian_feature_noise,0.00,nearest_centroid,0.882984,0.898064,0.912241,-0.015079,0.006157,0.028889,0.010555,0.000000
gaussian_feature_noise,0.00,softmax_regression,0.918657,0.917062,0.929386,0.001595,10.653721,0.018140,0.006628,0.000000
gaussian_feature_noise,0.05,gaussian_nb,0.896138,0.900986,0.908673,-0.004848,0.014630,0.052182,0.019065,0.001827
gaussian_feature_noise,0.05,nearest_centroid,0.882879,0.897698,0.911741,-0.014819,0.006741,0.028945,0.010575,0.000366
gaussian_feature_noise,0.05,softmax_regression,0.918342,0.920716,0.932047,-0.002375,10.716092,0.017799,0.006503,-0.003654
gaussian_feature_noise,0.10,gaussian_nb,0.895401,0.899890,0.907388,-0.004489,0.015672,0.055314,0.020210,0.002923
gaussian_feature_noise,0.10,nearest_centroid,0.882669,0.896967,0.911570,-0.014299,0.008490,0.029078,0.010624,0.001097
gaussian_feature_noise,0.10,softmax_regression,0.915921,0.913409,0.925716,0.002512,10.657013,0.017753,0.006486,0.003653
gaussian_feature_noise,0.20,gaussian_nb,0.895401,0.896237,0.903435,-0.000835,0.014468,0.052343,0.019124,0.006576
gaussian_feature_noise,0.20,nearest_centroid,0.882774,0.896602,0.910587,-0.013828,0.008307,0.029455,0.010762,0.001462
gaussian_feature_noise,0.20,softmax_regression,0.917710,0.918159,0.929830,-0.000448,10.762584,0.018389,0.006719,-0.001097
feature_dropout,0.00,gaussian_nb,0.896033,0.902813,0.910464,-0.006780,0.014248,0.052130,0.019046,0.000000
feature_dropout,0.00,nearest_centroid,0.882984,0.898064,0.912241,-0.015079,0.005960,0.029153,0.010652,0.000000
feature_dropout,0.00,softmax_regression,0.918657,0.917062,0.929386,0.001595,10.709785,0.018250,0.006668,0.000000
feature_dropout,0.05,gaussian_nb,0.894981,0.899160,0.902879,-0.004179,0.014023,0.052432,0.019157,0.003653
feature_dropout,0.05,nearest_centroid,0.881722,0.896237,0.909704,-0.014515,0.005780,0.028894,0.010557,0.001827
feature_dropout,0.05,softmax_regression,0.915395,0.917428,0.929716,-0.002033,11.073323,0.018365,0.006710,-0.000366
feature_dropout,0.10,gaussian_nb,0.892245,0.896237,0.899789,-0.003992,0.014146,0.052655,0.019238,0.006576
feature_dropout,0.10,nearest_centroid,0.882669,0.891122,0.904860,-0.008453,0.006084,0.029040,0.010610,0.006942
feature_dropout,0.10,softmax_regression,0.909502,0.911947,0.923563,-0.002445,10.691827,0.018433,0.006735,0.005115
feature_dropout,0.20,gaussian_nb,0.888877,0.889660,0.892778,-0.000783,0.014017,0.052341,0.019124,0.013153
feature_dropout,0.20,nearest_centroid,0.879091,0.885276,0.899136,-0.006185,0.005716,0.028929,0.010569,0.012788
feature_dropout,0.20,softmax_regression,0.894560,0.898794,0.909807,-0.004235,10.735621,0.018662,0.006818,0.018268
label_flip,0.00,gaussian_nb,0.896033,0.902813,0.910464,-0.006780,0.015529,0.051986,0.018994,0.000000
label_flip,0.00,nearest_centroid,0.882984,0.898064,0.912241,-0.015079,0.006700,0.028960,0.010581,0.000000
label_flip,0.00,softmax_regression,0.918657,0.917062,0.929386,0.001595,10.699278,0.018345,0.006703,0.000000
label_flip,0.05,gaussian_nb,0.897190,0.899160,0.904652,-0.001969,0.014104,0.052276,0.019100,0.003653
label_flip,0.05,nearest_centroid,0.882458,0.896602,0.908976,-0.014144,0.006275,0.028786,0.010517,0.001462
label_flip,0.05,softmax_regression,0.904346,0.903179,0.913772,0.001167,10.575865,0.017895,0.006538,0.013883
label_flip,0.10,gaussian_nb,0.887404,0.883449,0.886223,0.003955,0.014070,0.051806,0.018928,0.019364
label_flip,0.10,nearest_centroid,0.880459,0.890391,0.900597,-0.009932,0.005917,0.028800,0.010523,0.007673
label_flip,0.10,softmax_regression,0.899821,0.899890,0.905045,-0.000069,10.929122,0.018259,0.006671,0.017172
label_flip,0.20,gaussian_nb,0.880985,0.884910,0.886260,-0.003926,0.014219,0.051620,0.018860,0.017903
label_flip,0.20,nearest_centroid,0.866568,0.871392,0.870292,-0.004824,0.006525,0.028805,0.010524,0.026672
label_flip,0.20,softmax_regression,0.823529,0.830106,0.744998,-0.006577,10.716739,0.018361,0.006708,0.086956
